nr,scatter,real
134,./data/scatter/134s.png,./data/real/134r.png
135,./data/scatter/135s.png,./data/real/135r.png
136,./data/scatter/136s.png,./data/real/136r.png
137,./data/scatter/137s.png,./data/real/137r.png
138,./data/scatter/138s.png,./data/real/138r.png
139,./data/scatter/139s.png,./data/real/139r.png
140,./data/scatter/140s.png,./data/real/140r.png
141,./data/scatter/141s.png,./data/real/141r.png
142,./data/scatter/142s.png,./data/real/142r.png
143,./data/scatter/143s.png,./data/real/143r.png
144,./data/scatter/144s.png,./data/real/144r.png
145,./data/scatter/145s.png,./data/real/145r.png
146,./data/scatter/146s.png,./data/real/146r.png
147,./data/scatter/147s.png,./data/real/147r.png
148,./data/scatter/148s.png,./data/real/148r.png
149,./data/scatter/149s.png,./data/real/149r.png
150,./data/scatter/150s.png,./data/real/150r.png
151,./data/scatter/151s.png,./data/real/151r.png
152,./data/scatter/152s.png,./data/real/152r.png
153,./data/scatter/153s.png,./data/real/153r.png
154,./data/scatter/154s.png,./data/real/154r.png
155,./data/scatter/155s.png,./data/real/155r.png
156,./data/scatter/156s.png,./data/real/156r.png
157,./data/scatter/157s.png,./data/real/157r.png
158,./data/scatter/158s.png,./data/real/158r.png
159,./data/scatter/159s.png,./data/real/159r.png
160,./data/scatter/160s.png,./data/real/160r.png
161,./data/scatter/161s.png,./data/real/161r.png
162,./data/scatter/162s.png,./data/real/162r.png
163,./data/scatter/163s.png,./data/real/163r.png
164,./data/scatter/164s.png,./data/real/164r.png
165,./data/scatter/165s.png,./data/real/165r.png
166,./data/scatter/166s.png,./data/real/166r.png
167,./data/scatter/167s.png,./data/real/167r.png
168,./data/scatter/168s.png,./data/real/168r.png
169,./data/scatter/169s.png,./data/real/169r.png
170,./data/scatter/170s.png,./data/real/170r.png
171,./data/scatter/171s.png,./data/real/171r.png
172,./data/scatter/172s.png,./data/real/172r.png
173,./data/scatter/173s.png,./data/real/173r.png
174,./data/scatter/174s.png,./data/real/174r.png
175,./data/scatter/175s.png,./data/real/175r.png
176,./data/scatter/176s.png,./data/real/176r.png
177,./data/scatter/177s.png,./data/real/177r.png
178,./data/scatter/178s.png,./data/real/178r.png
179,./data/scatter/179s.png,./data/real/179r.png
180,./data/scatter/180s.png,./data/real/180r.png
181,./data/scatter/181s.png,./data/real/181r.png
182,./data/scatter/182s.png,./data/real/182r.png
183,./data/scatter/183s.png,./data/real/183r.png
184,./data/scatter/184s.png,./data/real/184r.png
185,./data/scatter/185s.png,./data/real/185r.png
186,./data/scatter/186s.png,./data/real/186r.png
187,./data/scatter/187s.png,./data/real/187r.png
188,./data/scatter/188s.png,./data/real/188r.png
189,./data/scatter/189s.png,./data/real/189r.png
190,./data/scatter/190s.png,./data/real/190r.png
191,./data/scatter/191s.png,./data/real/191r.png
192,./data/scatter/192s.png,./data/real/192r.png
193,./data/scatter/193s.png,./data/real/193r.png
194,./data/scatter/194s.png,./data/real/194r.png
195,./data/scatter/195s.png,./data/real/195r.png
196,./data/scatter/196s.png,./data/real/196r.png
197,./data/scatter/197s.png,./data/real/197r.png
198,./data/scatter/198s.png,./data/real/198r.png
199,./data/scatter/199s.png,./data/real/199r.png
200,./data/scatter/200s.png,./data/real/200r.png
201,./data/scatter/201s.png,./data/real/201r.png
202,./data/scatter/202s.png,./data/real/202r.png
203,./data/scatter/203s.png,./data/real/203r.png
204,./data/scatter/204s.png,./data/real/204r.png
205,./data/scatter/205s.png,./data/real/205r.png
206,./data/scatter/206s.png,./data/real/206r.png
207,./data/scatter/207s.png,./data/real/207r.png
208,./data/scatter/208s.png,./data/real/208r.png
209,./data/scatter/209s.png,./data/real/209r.png
210,./data/scatter/210s.png,./data/real/210r.png
211,./data/scatter/211s.png,./data/real/211r.png
212,./data/scatter/212s.png,./data/real/212r.png
213,./data/scatter/213s.png,./data/real/213r.png
214,./data/scatter/214s.png,./data/real/214r.png
215,./data/scatter/215s.png,./data/real/215r.png
216,./data/scatter/216s.png,./data/real/216r.png
217,./data/scatter/217s.png,./data/real/217r.png
218,./data/scatter/218s.png,./data/real/218r.png
219,./data/scatter/219s.png,./data/real/219r.png
220,./data/scatter/220s.png,./data/real/220r.png
221,./data/scatter/221s.png,./data/real/221r.png
222,./data/scatter/222s.png,./data/real/222r.png
223,./data/scatter/223s.png,./data/real/223r.png
224,./data/scatter/224s.png,./data/real/224r.png
225,./data/scatter/225s.png,./data/real/225r.png
226,./data/scatter/226s.png,./data/real/226r.png
227,./data/scatter/227s.png,./data/real/227r.png
228,./data/scatter/228s.png,./data/real/228r.png
229,./data/scatter/229s.png,./data/real/229r.png
230,./data/scatter/230s.png,./data/real/230r.png
231,./data/scatter/231s.png,./data/real/231r.png
232,./data/scatter/232s.png,./data/real/232r.png
233,./data/scatter/233s.png,./data/real/233r.png
234,./data/scatter/234s.png,./data/real/234r.png
235,./data/scatter/235s.png,./data/real/235r.png
236,./data/scatter/236s.png,./data/real/236r.png
237,./data/scatter/237s.png,./data/real/237r.png
238,./data/scatter/238s.png,./data/real/238r.png
239,./data/scatter/239s.png,./data/real/239r.png
240,./data/scatter/240s.png,./data/real/240r.png
241,./data/scatter/241s.png,./data/real/241r.png
242,./data/scatter/242s.png,./data/real/242r.png
243,./data/scatter/243s.png,./data/real/243r.png
244,./data/scatter/244s.png,./data/real/244r.png
245,./data/scatter/245s.png,./data/real/245r.png
246,./data/scatter/246s.png,./data/real/246r.png
247,./data/scatter/247s.png,./data/real/247r.png
248,./data/scatter/248s.png,./data/real/248r.png
249,./data/scatter/249s.png,./data/real/249r.png
250,./data/scatter/250s.png,./data/real/250r.png
251,./data/scatter/251s.png,./data/real/251r.png
252,./data/scatter/252s.png,./data/real/252r.png
253,./data/scatter/253s.png,./data/real/253r.png
254,./data/scatter/254s.png,./data/real/254r.png
255,./data/scatter/255s.png,./data/real/255r.png
256,./data/scatter/256s.png,./data/real/256r.png
257,./data/scatter/257s.png,./data/real/257r.png
258,./data/scatter/258s.png,./data/real/258r.png
259,./data/scatter/259s.png,./data/real/259r.png
260,./data/scatter/260s.png,./data/real/260r.png
261,./data/scatter/261s.png,./data/real/261r.png
262,./data/scatter/262s.png,./data/real/262r.png
263,./data/scatter/263s.png,./data/real/263r.png
264,./data/scatter/264s.png,./data/real/264r.png
265,./data/scatter/265s.png,./data/real/265r.png
266,./data/scatter/266s.png,./data/real/266r.png
267,./data/scatter/267s.png,./data/real/267r.png
268,./data/scatter/268s.png,./data/real/268r.png
269,./data/scatter/269s.png,./data/real/269r.png
270,./data/scatter/270s.png,./data/real/270r.png
271,./data/scatter/271s.png,./data/real/271r.png
272,./data/scatter/272s.png,./data/real/272r.png
273,./data/scatter/273s.png,./data/real/273r.png
274,./data/scatter/274s.png,./data/real/274r.png
275,./data/scatter/275s.png,./data/real/275r.png
276,./data/scatter/276s.png,./data/real/276r.png
277,./data/scatter/277s.png,./data/real/277r.png
278,./data/scatter/278s.png,./data/real/278r.png
279,./data/scatter/279s.png,./data/real/279r.png
280,./data/scatter/280s.png,./data/real/280r.png
281,./data/scatter/281s.png,./data/real/281r.png
282,./data/scatter/282s.png,./data/real/282r.png
283,./data/scatter/283s.png,./data/real/283r.png
284,./data/scatter/284s.png,./data/real/284r.png
285,./data/scatter/285s.png,./data/real/285r.png
286,./data/scatter/286s.png,./data/real/286r.png
287,./data/scatter/287s.png,./data/real/287r.png
288,./data/scatter/288s.png,./data/real/288r.png
289,./data/scatter/289s.png,./data/real/289r.png
290,./data/scatter/290s.png,./data/real/290r.png
291,./data/scatter/291s.png,./data/real/291r.png
292,./data/scatter/292s.png,./data/real/292r.png
293,./data/scatter/293s.png,./data/real/293r.png
294,./data/scatter/294s.png,./data/real/294r.png
295,./data/scatter/295s.png,./data/real/295r.png
296,./data/scatter/296s.png,./data/real/296r.png
297,./data/scatter/297s.png,./data/real/297r.png
298,./data/scatter/298s.png,./data/real/298r.png
299,./data/scatter/299s.png,./data/real/299r.png
300,./data/scatter/300s.png,./data/real/300r.png
301,./data/scatter/301s.png,./data/real/301r.png
302,./data/scatter/302s.png,./data/real/302r.png
303,./data/scatter/303s.png,./data/real/303r.png
304,./data/scatter/304s.png,./data/real/304r.png
305,./data/scatter/305s.png,./data/real/305r.png
306,./data/scatter/306s.png,./data/real/306r.png
307,./data/scatter/307s.png,./data/real/307r.png
308,./data/scatter/308s.png,./data/real/308r.png
309,./data/scatter/309s.png,./data/real/309r.png
310,./data/scatter/310s.png,./data/real/310r.png
311,./data/scatter/311s.png,./data/real/311r.png
312,./data/scatter/312s.png,./data/real/312r.png
313,./data/scatter/313s.png,./data/real/313r.png
314,./data/scatter/314s.png,./data/real/314r.png
315,./data/scatter/315s.png,./data/real/315r.png
316,./data/scatter/316s.png,./data/real/316r.png
317,./data/scatter/317s.png,./data/real/317r.png
318,./data/scatter/318s.png,./data/real/318r.png
319,./data/scatter/319s.png,./data/real/319r.png
320,./data/scatter/320s.png,./data/real/320r.png
321,./data/scatter/321s.png,./data/real/321r.png
322,./data/scatter/322s.png,./data/real/322r.png
323,./data/scatter/323s.png,./data/real/323r.png
324,./data/scatter/324s.png,./data/real/324r.png
325,./data/scatter/325s.png,./data/real/325r.png
326,./data/scatter/326s.png,./data/real/326r.png
327,./data/scatter/327s.png,./data/real/327r.png
328,./data/scatter/328s.png,./data/real/328r.png
329,./data/scatter/329s.png,./data/real/329r.png
330,./data/scatter/330s.png,./data/real/330r.png
331,./data/scatter/331s.png,./data/real/331r.png
332,./data/scatter/332s.png,./data/real/332r.png
333,./data/scatter/333s.png,./data/real/333r.png
334,./data/scatter/334s.png,./data/real/334r.png
335,./data/scatter/335s.png,./data/real/335r.png
336,./data/scatter/336s.png,./data/real/336r.png
337,./data/scatter/337s.png,./data/real/337r.png
338,./data/scatter/338s.png,./data/real/338r.png
339,./data/scatter/339s.png,./data/real/339r.png
340,./data/scatter/340s.png,./data/real/340r.png
341,./data/scatter/341s.png,./data/real/341r.png
342,./data/scatter/342s.png,./data/real/342r.png
343,./data/scatter/343s.png,./data/real/343r.png
344,./data/scatter/344s.png,./data/real/344r.png
345,./data/scatter/345s.png,./data/real/345r.png
346,./data/scatter/346s.png,./data/real/346r.png
347,./data/scatter/347s.png,./data/real/347r.png
348,./data/scatter/348s.png,./data/real/348r.png
349,./data/scatter/349s.png,./data/real/349r.png
350,./data/scatter/350s.png,./data/real/350r.png
351,./data/scatter/351s.png,./data/real/351r.png
352,./data/scatter/352s.png,./data/real/352r.png
353,./data/scatter/353s.png,./data/real/353r.png
354,./data/scatter/354s.png,./data/real/354r.png
355,./data/scatter/355s.png,./data/real/355r.png
356,./data/scatter/356s.png,./data/real/356r.png
357,./data/scatter/357s.png,./data/real/357r.png
358,./data/scatter/358s.png,./data/real/358r.png
359,./data/scatter/359s.png,./data/real/359r.png
360,./data/scatter/360s.png,./data/real/360r.png
361,./data/scatter/361s.png,./data/real/361r.png
362,./data/scatter/362s.png,./data/real/362r.png
363,./data/scatter/363s.png,./data/real/363r.png
364,./data/scatter/364s.png,./data/real/364r.png
365,./data/scatter/365s.png,./data/real/365r.png
366,./data/scatter/366s.png,./data/real/366r.png
367,./data/scatter/367s.png,./data/real/367r.png
368,./data/scatter/368s.png,./data/real/368r.png
369,./data/scatter/369s.png,./data/real/369r.png
370,./data/scatter/370s.png,./data/real/370r.png
371,./data/scatter/371s.png,./data/real/371r.png
372,./data/scatter/372s.png,./data/real/372r.png
373,./data/scatter/373s.png,./data/real/373r.png
374,./data/scatter/374s.png,./data/real/374r.png
375,./data/scatter/375s.png,./data/real/375r.png
376,./data/scatter/376s.png,./data/real/376r.png
377,./data/scatter/377s.png,./data/real/377r.png
378,./data/scatter/378s.png,./data/real/378r.png
379,./data/scatter/379s.png,./data/real/379r.png
380,./data/scatter/380s.png,./data/real/380r.png
381,./data/scatter/381s.png,./data/real/381r.png
382,./data/scatter/382s.png,./data/real/382r.png
383,./data/scatter/383s.png,./data/real/383r.png
384,./data/scatter/384s.png,./data/real/384r.png
385,./data/scatter/385s.png,./data/real/385r.png
386,./data/scatter/386s.png,./data/real/386r.png
387,./data/scatter/387s.png,./data/real/387r.png
388,./data/scatter/388s.png,./data/real/388r.png
389,./data/scatter/389s.png,./data/real/389r.png
390,./data/scatter/390s.png,./data/real/390r.png
391,./data/scatter/391s.png,./data/real/391r.png
392,./data/scatter/392s.png,./data/real/392r.png
393,./data/scatter/393s.png,./data/real/393r.png
394,./data/scatter/394s.png,./data/real/394r.png
395,./data/scatter/395s.png,./data/real/395r.png
396,./data/scatter/396s.png,./data/real/396r.png
397,./data/scatter/397s.png,./data/real/397r.png
398,./data/scatter/398s.png,./data/real/398r.png
399,./data/scatter/399s.png,./data/real/399r.png
400,./data/scatter/400s.png,./data/real/400r.png
401,./data/scatter/401s.png,./data/real/401r.png
402,./data/scatter/402s.png,./data/real/402r.png
403,./data/scatter/403s.png,./data/real/403r.png
404,./data/scatter/404s.png,./data/real/404r.png
405,./data/scatter/405s.png,./data/real/405r.png
406,./data/scatter/406s.png,./data/real/406r.png
407,./data/scatter/407s.png,./data/real/407r.png
408,./data/scatter/408s.png,./data/real/408r.png
409,./data/scatter/409s.png,./data/real/409r.png
410,./data/scatter/410s.png,./data/real/410r.png
411,./data/scatter/411s.png,./data/real/411r.png
412,./data/scatter/412s.png,./data/real/412r.png
413,./data/scatter/413s.png,./data/real/413r.png
414,./data/scatter/414s.png,./data/real/414r.png
415,./data/scatter/415s.png,./data/real/415r.png
416,./data/scatter/416s.png,./data/real/416r.png
417,./data/scatter/417s.png,./data/real/417r.png
418,./data/scatter/418s.png,./data/real/418r.png
419,./data/scatter/419s.png,./data/real/419r.png
420,./data/scatter/420s.png,./data/real/420r.png
421,./data/scatter/421s.png,./data/real/421r.png
422,./data/scatter/422s.png,./data/real/422r.png
423,./data/scatter/423s.png,./data/real/423r.png
424,./data/scatter/424s.png,./data/real/424r.png
425,./data/scatter/425s.png,./data/real/425r.png
426,./data/scatter/426s.png,./data/real/426r.png
427,./data/scatter/427s.png,./data/real/427r.png
428,./data/scatter/428s.png,./data/real/428r.png
429,./data/scatter/429s.png,./data/real/429r.png
430,./data/scatter/430s.png,./data/real/430r.png
431,./data/scatter/431s.png,./data/real/431r.png
432,./data/scatter/432s.png,./data/real/432r.png
433,./data/scatter/433s.png,./data/real/433r.png
434,./data/scatter/434s.png,./data/real/434r.png
435,./data/scatter/435s.png,./data/real/435r.png
436,./data/scatter/436s.png,./data/real/436r.png
437,./data/scatter/437s.png,./data/real/437r.png
438,./data/scatter/438s.png,./data/real/438r.png
439,./data/scatter/439s.png,./data/real/439r.png
440,./data/scatter/440s.png,./data/real/440r.png
441,./data/scatter/441s.png,./data/real/441r.png
442,./data/scatter/442s.png,./data/real/442r.png
443,./data/scatter/443s.png,./data/real/443r.png
444,./data/scatter/444s.png,./data/real/444r.png
445,./data/scatter/445s.png,./data/real/445r.png
446,./data/scatter/446s.png,./data/real/446r.png
447,./data/scatter/447s.png,./data/real/447r.png
448,./data/scatter/448s.png,./data/real/448r.png
449,./data/scatter/449s.png,./data/real/449r.png
450,./data/scatter/450s.png,./data/real/450r.png
451,./data/scatter/451s.png,./data/real/451r.png
452,./data/scatter/452s.png,./data/real/452r.png
453,./data/scatter/453s.png,./data/real/453r.png
454,./data/scatter/454s.png,./data/real/454r.png
455,./data/scatter/455s.png,./data/real/455r.png
456,./data/scatter/456s.png,./data/real/456r.png
457,./data/scatter/457s.png,./data/real/457r.png
458,./data/scatter/458s.png,./data/real/458r.png
459,./data/scatter/459s.png,./data/real/459r.png
460,./data/scatter/460s.png,./data/real/460r.png
461,./data/scatter/461s.png,./data/real/461r.png
462,./data/scatter/462s.png,./data/real/462r.png
463,./data/scatter/463s.png,./data/real/463r.png
464,./data/scatter/464s.png,./data/real/464r.png
465,./data/scatter/465s.png,./data/real/465r.png
466,./data/scatter/466s.png,./data/real/466r.png
467,./data/scatter/467s.png,./data/real/467r.png
468,./data/scatter/468s.png,./data/real/468r.png
469,./data/scatter/469s.png,./data/real/469r.png
470,./data/scatter/470s.png,./data/real/470r.png
471,./data/scatter/471s.png,./data/real/471r.png
472,./data/scatter/472s.png,./data/real/472r.png
473,./data/scatter/473s.png,./data/real/473r.png
474,./data/scatter/474s.png,./data/real/474r.png
475,./data/scatter/475s.png,./data/real/475r.png
476,./data/scatter/476s.png,./data/real/476r.png
477,./data/scatter/477s.png,./data/real/477r.png
478,./data/scatter/478s.png,./data/real/478r.png
479,./data/scatter/479s.png,./data/real/479r.png
480,./data/scatter/480s.png,./data/real/480r.png
481,./data/scatter/481s.png,./data/real/481r.png
482,./data/scatter/482s.png,./data/real/482r.png
483,./data/scatter/483s.png,./data/real/483r.png
484,./data/scatter/484s.png,./data/real/484r.png
485,./data/scatter/485s.png,./data/real/485r.png
486,./data/scatter/486s.png,./data/real/486r.png
487,./data/scatter/487s.png,./data/real/487r.png
488,./data/scatter/488s.png,./data/real/488r.png
489,./data/scatter/489s.png,./data/real/489r.png
490,./data/scatter/490s.png,./data/real/490r.png
491,./data/scatter/491s.png,./data/real/491r.png
492,./data/scatter/492s.png,./data/real/492r.png
493,./data/scatter/493s.png,./data/real/493r.png
494,./data/scatter/494s.png,./data/real/494r.png
495,./data/scatter/495s.png,./data/real/495r.png
496,./data/scatter/496s.png,./data/real/496r.png
497,./data/scatter/497s.png,./data/real/497r.png
498,./data/scatter/498s.png,./data/real/498r.png
499,./data/scatter/499s.png,./data/real/499r.png
500,./data/scatter/500s.png,./data/real/500r.png
501,./data/scatter/501s.png,./data/real/501r.png
502,./data/scatter/502s.png,./data/real/502r.png
503,./data/scatter/503s.png,./data/real/503r.png
504,./data/scatter/504s.png,./data/real/504r.png
505,./data/scatter/505s.png,./data/real/505r.png
506,./data/scatter/506s.png,./data/real/506r.png
507,./data/scatter/507s.png,./data/real/507r.png
508,./data/scatter/508s.png,./data/real/508r.png
509,./data/scatter/509s.png,./data/real/509r.png
510,./data/scatter/510s.png,./data/real/510r.png
511,./data/scatter/511s.png,./data/real/511r.png
512,./data/scatter/512s.png,./data/real/512r.png
513,./data/scatter/513s.png,./data/real/513r.png
514,./data/scatter/514s.png,./data/real/514r.png
515,./data/scatter/515s.png,./data/real/515r.png
516,./data/scatter/516s.png,./data/real/516r.png
517,./data/scatter/517s.png,./data/real/517r.png
518,./data/scatter/518s.png,./data/real/518r.png
519,./data/scatter/519s.png,./data/real/519r.png
520,./data/scatter/520s.png,./data/real/520r.png
521,./data/scatter/521s.png,./data/real/521r.png
522,./data/scatter/522s.png,./data/real/522r.png
523,./data/scatter/523s.png,./data/real/523r.png
524,./data/scatter/524s.png,./data/real/524r.png
525,./data/scatter/525s.png,./data/real/525r.png
526,./data/scatter/526s.png,./data/real/526r.png
527,./data/scatter/527s.png,./data/real/527r.png
528,./data/scatter/528s.png,./data/real/528r.png
529,./data/scatter/529s.png,./data/real/529r.png
530,./data/scatter/530s.png,./data/real/530r.png
531,./data/scatter/531s.png,./data/real/531r.png
532,./data/scatter/532s.png,./data/real/532r.png
533,./data/scatter/533s.png,./data/real/533r.png
534,./data/scatter/534s.png,./data/real/534r.png
535,./data/scatter/535s.png,./data/real/535r.png
536,./data/scatter/536s.png,./data/real/536r.png
537,./data/scatter/537s.png,./data/real/537r.png
538,./data/scatter/538s.png,./data/real/538r.png
539,./data/scatter/539s.png,./data/real/539r.png
540,./data/scatter/540s.png,./data/real/540r.png
541,./data/scatter/541s.png,./data/real/541r.png
542,./data/scatter/542s.png,./data/real/542r.png
543,./data/scatter/543s.png,./data/real/543r.png
544,./data/scatter/544s.png,./data/real/544r.png
545,./data/scatter/545s.png,./data/real/545r.png
546,./data/scatter/546s.png,./data/real/546r.png
547,./data/scatter/547s.png,./data/real/547r.png
548,./data/scatter/548s.png,./data/real/548r.png
549,./data/scatter/549s.png,./data/real/549r.png
550,./data/scatter/550s.png,./data/real/550r.png
551,./data/scatter/551s.png,./data/real/551r.png
552,./data/scatter/552s.png,./data/real/552r.png
553,./data/scatter/553s.png,./data/real/553r.png
554,./data/scatter/554s.png,./data/real/554r.png
555,./data/scatter/555s.png,./data/real/555r.png
556,./data/scatter/556s.png,./data/real/556r.png
557,./data/scatter/557s.png,./data/real/557r.png
558,./data/scatter/558s.png,./data/real/558r.png
559,./data/scatter/559s.png,./data/real/559r.png
560,./data/scatter/560s.png,./data/real/560r.png
561,./data/scatter/561s.png,./data/real/561r.png
562,./data/scatter/562s.png,./data/real/562r.png
563,./data/scatter/563s.png,./data/real/563r.png
564,./data/scatter/564s.png,./data/real/564r.png
565,./data/scatter/565s.png,./data/real/565r.png
566,./data/scatter/566s.png,./data/real/566r.png
567,./data/scatter/567s.png,./data/real/567r.png
568,./data/scatter/568s.png,./data/real/568r.png
569,./data/scatter/569s.png,./data/real/569r.png
570,./data/scatter/570s.png,./data/real/570r.png
571,./data/scatter/571s.png,./data/real/571r.png
572,./data/scatter/572s.png,./data/real/572r.png
573,./data/scatter/573s.png,./data/real/573r.png
574,./data/scatter/574s.png,./data/real/574r.png
575,./data/scatter/575s.png,./data/real/575r.png
576,./data/scatter/576s.png,./data/real/576r.png
577,./data/scatter/577s.png,./data/real/577r.png
578,./data/scatter/578s.png,./data/real/578r.png
579,./data/scatter/579s.png,./data/real/579r.png
580,./data/scatter/580s.png,./data/real/580r.png
581,./data/scatter/581s.png,./data/real/581r.png
582,./data/scatter/582s.png,./data/real/582r.png
